release_date,peak,artist,track,label
Nov 29,72,Taylor Swift,The Way I Loved You,Big Machine Digital
Nov 29,81,Jack White &amp; Alicia Keys,Another Way To Die,Third Man/J
Nov 29,87,Taylor Swift,Breathe,Big Machine Digital
Nov 29,94,Taylor Swift,Hey Stephen,Big Machine Digital
Nov 29,97,Akon &amp; Sweet Rush,Troublemaker,SRC Digital
Dec 6,7,"Fray, The",You Found Me,Epic Digital
Dec 6,31,Plies Featuring Chris J,Put It On Ya,Big Gates/Slip-N-Slide Digital
Dec 6,36,Toby Keith,God Love Her,Show Dog Nashville Digital
Dec 6,44,Nickelback,I’d Come For You,Roadrunner Digital
Dec 6,68,Nickelback,Never Gonna Be Alone,Roadrunner Digital
Dec 6,71,Musiq Soulchild Featuring Mary J. Blige,IfULeave,Atlantic Digital
Dec 6,90,Ace Hood Featuring Trey Songz,Ride,We The Best/Def Jam 011909
Dec 6,92,Randy Houser,Anything Goes,Universal South Digital
Dec 13,7,Shinedown,Second Chance,Atlantic Digital
Dec 13,11,"Pussycat Dolls, The",I Hate This Part,Interscope Digital
Dec 13,15,Pink,Sober,LaFace Digital
Dec 13,17,"Veronicas, The",Untouched,Island Digital
Dec 13,81,Kanye West Featuring Young Jeezy,Amazing,Roc-A-Fella/Def Jam Digital
Dec 13,21,Kanye West Featuring Lil Wayne,See You In My Nightmares,Roc-A-Fella/Def Jam Digital
Dec 13,65,Ludacris Co-Starring Lil Wayne,Last Of A Dying Bread,DTP/Def Jam Digital
Dec 20,11,Ne-Yo,Mad,Def Jam Digital
Dec 20,19,Britney Spears,If U Seek Amy,Jive Digital
Dec 20,39,"Ting Tings, The",That’s Not My Name,Columbia Digital
Dec 20,47,Kenny Chesney with Mac McAnally,Down The Road,Blue Chair Digital
Dec 20,59,George Strait,River Of Love,MCA Nashville Digital
Dec 20,62,Common Featuring Pharrell,Universal Mind Control,G.O.O.D./Geffen Digital
Dec 20,3,Britney Spears,Circus,Jive Digital
Dec 20,19,Akon Featuring Colby O’Donis &amp; Kardinal Offishall,Beautiful,Konvict/Upfront/SRC Digital
Dec 20,70,Britney Spears,Shattered Glass,Jive Digital
Dec 20,86,Busta Rhymes,Arab Money,Universal Motown Digital
Dec 27,42,Metro Station,Seventeen Forever,Columbia Digital
Dec 27,49,Jamie Foxx Featuring T.I.,Just Like Me,J Digital
Dec 27,54,Ne-Yo Featuring Jamie Foxx &amp; Fabolous,She Got Her Own,Def Jam ITUNES EXCLUSIVE
Dec 27,91,Avant,When It Hurts,Capitol Digital
