artist,artist_id,gender,record_label,artist_country,current_city,hometown_city,band_members,spotify_tags
Keala Settle,7HV2RI2qNug4EcQqLbCAKS,0.0,,us,,,,hollywood/show tunes/broadway
Feenixpawl,5FvlJcXnFIm72pgQtW3Dct,1.0,Armada Music,us,Los Angeles,Melbourne,Aden Forte & Josh Soon,edm/electro house/big room/australian dance/progressive electro house/deep big room
Man Cub,6uku31mN2SKBGAIEM6Umgi,,,,,,Alec Berve,
Audien,4xnMDfgEmXZEEDdITKcGuE,1.0,,us,,,Nate Rathbun,pop/edm/tropical house/electro house/progressive house/big room/progressive electro house
Taku-Hero,0tiyeySeKpqC35IYRoiSRf,,,,,,,
Jewelz & Sparks,50kceDjknh0CjwOko7kx7V,,"Musical Freedom, Warner Music, Revealed Recordings, Fly Eye, DOORN (Spinnin), Dim Mak, Darklight Recordings, Ultra",de,,,,edm/electro house/big room/progressive electro house/deep big room/sky room
TYMEN,38dICdGB6bl9UKmQx3lt2R,,,,,,,
Julian Jordan,2vUCVkeZjzDcaoX4gagHdV,1.0,,nl,,,,edm/electro house/progressive house/big room/progressive electro house/deep big room/sky room
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,1.0,,gb,,,"Iain Cook
Martin Doherty
Lauren Mayberry",metropopolis/indietronica/shimmer pop/neo-synthpop/modern rock
Khrebto,0fLTK12xF2IMaNmKMSue6g,,Spinnin' Records,us,,St. Petersburg,Gregory,
VAVO,44re77WwNG34C182Jq3WIK,,"KESS Records
www.kessrecords.com ",us,,,Jesse Fischer and Alden Martin,
Gil Sanders,6XorJwzepd6bzPN8lzIDJB,1.0,"ARMADA, Mixmash, Flamingo, Staar Traxx, Big&Dirty, 2-Dutch, Musical Madness, Moganga, Blanco y Negro",it,,Pisa,Gilberto Giannoni,deep big room
Niko The Kid,0FPoqGEZFwHQfu5tRPL08X,,,us,Los Angeles,Atlanta,,deep groove house
Satellite Empire,1DGpuIJ6KAI5bcaFGbJZJs,,,pl,,New York,Alene Christina; Nestor Padilla-Tiller,
Dabin,7lZauDnRoAC3kmaYae2opv,1.0,"Kannibalen Records, Monstercat, Dim Mak Records, Virgin EMI, AEI Media, Tasty Records",ca,,Toronto,"Bookings:
Guy Oldaker
guy.oldaker@unitedtalent.com
",
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,1.0,Atlantic Records,us,,,,pop/dance pop/post-teen pop/viral pop/pop/post-teen pop/viral pop/dance pop
Tim Mason,5GehdPjguGOCZifnKNrXi9,1.0,"Size, Spinnin Records, Zerothree, Armada, Anjunabeats, Doorn Records",gb,,Brighton,,progressive house/big room/progressive electro house
Silk City,2X97ZAqRKRMYFIDqtvGgGc,1.0,,us,,,,pop/edm/house/tropical house
Justin OH,5x2u5vpKBhviWQlni8VM8L,,,kr,,Seoul,,
SLANDER,20DZAfCuP1TKZl5KcY7z3Q,1.0,,us,,Los Angeles,Derek & Scott ,edm/electro house/brostep/electronic trap/electronic trap/pop edm/electro house/edm/brostep
Qulinez,6d7AYr4nvqHPhfPaDLLeRU,,"Spinnin', Dim Mak, Wall, Atlantic, Size Records , Armada, Doorn",,,,Alexander Lager & Johannes Gustafsson,edm/electro house/big room/progressive electro house/deep big room/sky room
BRKLYN,0sSB3cIRBuBGa1UXLsQtaw,,,us,Los Angeles,Los Angeles,BRKLYN,
Aiobahn,3AMFQZ3Tt549kShRG2IBYT,1.0,Monstercat,kr,,,,vocaloid
San Holo,0jNDKefhfSbLR9sFvcPLHo,1.0,bitbird,nl,,,,pop/edm/tropical house/electro house/electronic trap/vapor twitch
Tom Staar,0iSYvHKAdhWVdZkS1PYK3u,1.0,Staar Traxx / Axtone / Size ,gb,,London,Tom Staar,edm/house/electro house/progressive house/big room/progressive electro house
Sultan + Shepard,14Tg9FvbNismPR1PJHxRau,1.0,Harem Records,ca,,,Sultan + Ned Shepard,edm/house/tropical house/electro house/progressive house/big room/progressive electro house/deep big room/deep tropical house
Huxley,6fJvW51nWhRImJyos6O7sT,1.0,,gb,,London,,house/disco house/deep groove house/deep disco house/minimal tech house/deep house/speed garage
Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,1.0,Spinnin' Records,nl,Amsterdam,Amsterdam,"Jordy Huisman
Sander Huisman
Yuki Kempees",tropical house/dutch house/dutch pop
Guz,2T86EVnDCP64EaVKRXIcRx,1.0,"Sony / Ministry of Sound 
Toolroom",ch,Amsterdam,Amsterdam,,
Dropgun,3nAdmhth5AczU6YwCJOlYh,1.0,"Spinnin Records, Oxygen,Hexagon,DOORN Records,
Flamingo Recordings, Armada, Revealed, Skink ",ru,,Tomsk,"Mike Martinov 
Ilyas Kozhahanov 
",edm/house/electro house/progressive house/big room/progressive electro house/deep big room/sky room
Boehm,08p782h5VznNEQMM4wAEp9,1.0,,ro,,Bucharest,Boehm,tropical house/deep tropical house
chæ,04bDQYNj7Aos39p2b1Vm31,,,,,,,
Guestlist.,0C6km4f6Dv86H98Gv1z4Uo,0.0,,,,,,
Project Nightfall,0q5832aVcQp3jtKa2lTEwY,,,,,,,tracestep
Nature One Inc.,6HMgU5BFvBZF7sCP0JNDN8,,,us,,,,
Carta,3MTk6MUbUmV5X0N04N56JF,,,,,,,electro house/deep big room
Chico Rose,5OdVywqKqyCWwfE2fZb7IX,,,,,,,deep big room/sky room
Frank Pole,7LMar0WAyjuaMlYUGh9HBb,1.0,,it,,,,deep tropical house
JayKode,1AlMOfS6T5s24LsrLZ2Eji,1.0,,us,Los Angeles,Los Angeles,,electronic trap/bass trap
Big Pineapple,364ge6OLf1AsRisexSjfJN,,,,,,,
Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,0.0,BMG,au,,Melbourne,Kylie Minogue,pop/dance pop/australian dance/pop rock/europop/new wave pop/australian pop/eurodance
VIRTU,0QehxnZckus8HjzxCMnPGY,,,,,,,
Funkagenda,2bElZdbJcj6B8WIP2fiKsG,1.0,,us,,Los Angeles,,progressive house/tech house
Hoang,2KjxvxgJvbwweNVRMSuIRG,,,,,,,
Lovely Laura,5JPetxGre91T4mQOPFat3g,1.0,,es,,,,
Adrian Lux,5kp9Qhzri9LrDkzrtjt5Sh,1.0,,se,,,,edm/electro house/big room/progressive electro house
Echosmith,1PbBg2aYjWLKRk84zJK15x,1.0,Warner Bros. Records,us,,Los Angeles,"Sydney - Lead Vocals
Noah - Bass/ Vocals
Graham - Drums",indie poptimism/indie poptimism
Prismo,23ostNBoB9z6GMXLtHdg7y,1.0,,us,,,,electronic trap/bass trap/tracestep
Felix Cartal,6roDXEmZ6AARdOUv6x5U2v,1.0,,ca,Vancouver,Vancouver,Felix Cartal,edm/tropical house/electro house/big room/deep tropical house
Bottai,2wghI3P3W8vxgsb0le3Fgk,,,,,,,
Husman,38IfmizrHTCxFjd8UKhWnp,1.0,Mainstage Music (Armada Music),nl,,,,trance/progressive house/big room/progressive electro house/deep big room/progressive trance/uplifting trance/sky room/progressive uplifting trance
Akki,0WcfupOfizKWzkdXadcxqJ,,,,,,,
Plastik Funk,7wmCy21VjfmbP8DznMJe8v,,"Armada, Zulu, Tiger, Flamingo, Kontor, Spinnin, Stealth, Building Records, Soda Records, CR2, Hotfingers, Ministry of Sound Germany",de,,Düsseldorf,Rafael,pop house
Anki,6IDgN356to8svgrWLUAIoC,,,gb,,,,
Tim Berg,7iLc4hrjOjQPfg1E3cCHg1,1.0,Various Major,se,,Stockholm,"Avicii
Executive Producer: Ash Pournouri",edm/big room/progressive electro house
Disco Killerz,0WfWABuarRrUticTLylKQl,1.0,,pl,New York,New York,,sky room
Prince Paris,5aAJhXtrFlRSDzZmCktcXQ,0.0,,,,,Paris,deep big room/pop edm/deep big room
Da Hool,0wOXK4GjUAFUDhd7mvKBbW,1.0,"Armada Music, Spinning Records, Ultra Music, B-Sides, ",de,,,,bubble trance
Bougenvilla,1I5pYXplsbqmHaVWlAEhla,1.0,Spinnin' Records,nl,,Rotterdam,"Shefida (23) & Jeremy (21) aka Bougenvilla

Musical inquiries: hello@pointedmgmt.com

Promo:promo@bougenvilla.com

Bookings: evelyn@anna-agency.nl (ROW)
                 amanda@010bookings.com (BeNeLux)
",edm/house/electro house/big room/progressive electro house/deep big room/deep groove house/sky room
Dallerium,4fxRhGF08oSVvvjHoK6QNO,,,,,Zagreb,Dino Travaš & Tomislav Zovko,deep groove house
NWYR,558dSyN1mMqsKrEBcKJ2p0,1.0,,nl,,,,trance/progressive house/big room/deep big room/progressive trance/uplifting trance/sky room
Corporate Slackrs,57TvkbpmyWEXja8k98ZFFB,,"Juicy Music (Miami), Ultra Records (NYC), Big Beat Records (NYC) Dim Mak Records (LA)",us,,Los Angeles,SLACKRS,
Maor Levi,7iVuXpgNEl87BwdwV1L6he,1.0,,il,,,Maor Levi,trance/progressive house/progressive trance/uplifting trance
Seven Youth,3P6i5EvtexjVYSy9gg9H5Q,,,,,,,
Warren,3hsPrgSO08dwXVkDzFbfSY,0.0,,,,,,
MitiS,16yUpGkBRgc2eDMd3bB3Uw,1.0,"Born Records, Seeking Blue",us,,,: Inspiration.,edm/electro house/brostep/complextro/catstep/tracestep/chillstep/filthstep
Noah Neiman,2ojEZEmcQVC3vLNpcoo9rJ,,"Enhanced Music, Armada Music, Revealed Recordings",us,Austin,Austin,Just lil old me.,deep big room/progressive uplifting trance
Afrojack,4D75GcNG95ebPtNvoNVXhz,1.0,Wall Recordings,nl,,,"Nick van de Wall
",pop/edm/dance pop/tropical house/electro house/progressive house/big room/progressive electro house/deep big room/dutch house/pop/progressive electro house/deep big room/electro house/big room/dance pop/progressive house/edm/dutch house/tropical house
Nytrix,1s8cu0X2A5YDwCLRN8AjFa,,"Monstercat
DIMMAK
Proximity 
Trapcity
Trapnation
From Beyond Tomorrow
Peak Hour Music
TMRW Records
Hussle Recordings",us,,Los Angeles,,
Capa (Official),2RGj10V2dzEJO92R6v7eGA,,,se,,,,progressive house
Janieck,1bZDq4po4dMIpN74Zendm0,1.0,,nl,,,,deep tropical house
Shanahan,55iQlVy82VOHUZ54INg1Ge,0.0,"Revealed Recordings, Flamingo Recordings, SONY Music, Armada Music, PinkStar, Spinnin, & More",gb,,,SHANAHAN,sky room
Ryos,7us9kFadl2fztbHSvlNk6M,,,,,,,edm/electro house/big room/progressive electro house/deep big room/sky room
BVRNOUT,5oREZfPeedk4nyo1GpqKfU,,,us,,,[burn-out],
Shapov,36VSvhsPFTdsj1CtmatPiQ,,,,,,,big room/progressive electro house/deep big room/sky room
Roman Messer,25DnzR3jtrD8StkyyRCvHR,,Suanda Music,ru,,,Roman Messer,trance/progressive house/progressive trance/uplifting trance/progressive uplifting trance
Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T,1.0,,gb,,London,"Ben Hall
Simon James",
Mokita,3sKeaby6GMSJWgYueZaSjE,1.0,Armada Music,us,Nashville,Nashville,John-Luke Carter,indie poptimism
AVE,2Aa0CqDvbha6vdnCzH2Eg5,,,,,,,
ATB,7jZM5w05mGhw6wTB1okhD9,1.0,Kontor,,,,,edm/trance/progressive house/progressive trance/german techno/disco house/uplifting trance
MSTR ROGERS,2CefeOM98Zx2FFrGXBgpms,,,us,,,,
Dirty South,1bpzpALZwOoKXzwMg2i8WB,1.0,Phazing ,au,,Melbourne,,edm/house/electro house/progressive house/big room/australian dance/progressive electro house/disco house/tech house
Snakehips,2FwJwEswyIUAljqgjNSHgP,1.0,Hoffman West,gb,,,,pop/edm/dance pop/tropical house/post-teen pop/indie r&b
Porter Robinson,3dz0NnIZhtKKeXZxLOxCam,1.0,,us,,,,edm/electro house/big room/brostep/complextro/progressive electro house
Myon & Shane 54,0uXRsluXdi5LtEs8DoFknc,,Armind / Zerothree / Nettwerk ,hu,,Budapest,Shane 54,trance/progressive house/progressive trance/uplifting trance
Patrolla,1Tt2ETeAAs0ZS7ljt95AN5,,,,,,,sky room
Jack Ü,1HxJeLhIuegM3KgvPn8sTa,1.0,,us,,,"Skrillex
Diplo",pop/edm/electro house/electronic trap
ODESZA,21mKp7DqtSNHhCAU2ugvUw,1.0,"Counter Records, Foreign Family Collective",us,,Seattle,,tropical house/ninja/chillwave
Wolfgang Gartner,3534yWWzmxx8NbKVoNolsK,1.0,,us,Los Angeles,Los Angeles,Wolf,edm/house/electro house/progressive house/big room/brostep/complextro/progressive electro house
Dirty South & Alesso,0A35CZkKqUxYneaFjcTEhm,,,,,,,
Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,1.0,Pryda Recordings / Mouseville Records ,se,Los Angeles,Stockholm,Eric Prydz ,edm/house/electro house/progressive house/big room/progressive electro house/disco house/vocal house/progressive electro house/electro house/big room/progressive house/edm/house/disco house/vocal house
Richard Beynon,762pCYByHF5oEFpGrNLEVF,0.0,Ultra Records // Neon Records,gb,,,Richard Beynon,deep uplifting trance
PMZ,6U9NRws2pmWsSteJNibkmq,,,,,,,covertrance
Jacob Van Hage,5U1ORIpbk6wMPOadRb9P8e,,"Flashover Recordings, Revealed Recordings, Spinnin' Records amongst many others!",nl,,Rotterdam,Bojac,big room
Swanky Tunes,06cLuOP0p7VAnBnqil1eWX,1.0,"Showland (demoshowland@gmail.com), Armada Music, Sony Music, Universal Music.",ru,,,"Vadim, Dmitry, Stanislav ",edm/house/electro house/progressive house/big room/progressive electro house/deep big room/sky room
Someday,1Q7aW7qZyKAI5ei4uAofWe,,,,,,,
Beltek,6J8msLSTRXnKJofhAMkWXG,1.0,"Toolroom, Ministry of Sound, Global Underground, Spinnin, Armada, Dim Mak",si,,,Martin Bijelic,
Daddy's Groove,3kcQ94iDBwumLfddrCrse8,1.0,"Spinnin' Records
Doorn Records",it,,,,electro house/big room/progressive electro house
Laidback Luke & Hardwell,3yMOl1bP7eaYzvkhL41bC0,,,,,,,
Sebastian Ingrosso & Tommy Trash,0S3sFZHupqART6RyHLZxOq,,,,,,,
Yellow Claw,47z7ZrgFoBvVpCnElCE3Zh,1.0,,nl,,Amsterdam,,edm/electro house/brostep/electronic trap/bass trap/electronic trap/electro house/edm/brostep/bass trap
Quintino,1V3VTM7VspiQjcmRhC010n,1.0,,nl,,,"Quintino
",pop/edm/house/tropical house/electro house/progressive house/big room/progressive electro house/deep big room/dutch house
Dzeko & Torres,5Ip2ecnyGpNyZvPuuYU8Ai,1.0,,ca,,,,edm/electro house/progressive house/big room/progressive electro house/deep big room/sky room
Project 46,2RhRT6DNOVoDTfS0rG31pZ,,,ca,,,#NAME?,edm/electro house/big room/complextro/progressive electro house/catstep/tracestep/chillstep
Shaan,7jo2g1o6z6ZK8DDDazCcOY,,,,,,,
MRVLZ,3un05YwofiJaHKHpHOXoWO,,,us,San Jose,San Jose,"Michael Leathers
",
Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,1.0,Black Book Records,gb,,London,,edm/house/tropical house/electro house/progressive house/big room/brostep/melbourne bounce
Sleepy Tom,1D9XQXqh4YQfJwX7hyLWwr,1.0,,ca,Vancouver,Vancouver,Sleepy Tom,
Estelle,5T0MSzX9RC5NA6gAI6irSn,0.0,New London Records,gb,London,London,Estelle,r&b/neo soul
Mitiska,2BVVk2fLwxQisteQ8VXzCf,,RIDE Recordings,us,,Denver,Shawn Mitiska,
Kaivon,55FVjkpZs1zuo3zqBgrKtC,1.0,,us,,,,bass trap
Cosmic Gate,6ySxYu68zTsO5ghsThpGtS,1.0,WYM Records (Black Hole / Armada) ,de,,,Nic Chagall & Bossi,edm/trance/progressive house/big room/progressive trance/german techno/uplifting trance
PRAANA,7rgcAsQrCXfkQ4c7T0qF4n,,,,,,,
TaylorX,5hjo6YYIcD2QCMtH4g84gw,0.0,,,,,,pop edm/edm/house/uk dance/deep groove house/deep tropical house
Go Freek,2aRd7rRSUjtZ6WPG5GsBO6,,Sweat It Out Music!,au,,,,deep groove house
Sonny Bass,3M6DDMNuxoccVfUSPgbupI,,,nl,,,,
Andrew Rayel,1UtBjqMZBAmqIPlDrKu7Tr,1.0,Armada Music,md,,Chisinau,Andrei Rata,edm/trance/progressive house/big room/progressive trance/uplifting trance
Morat,5C4PDR4LnhZTbVnKWXuDKD,1.0,Universal Music Spain,co,,,"Juan Pablo Isaza — Guitarra, Voz
Simón Vargas — Bajo, Voz
Juan Pablo Villamil — Banjo, Guitarra, Voz
Martín Vargas — Batería, Percusión, Voz
",latin pop/colombian pop
Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,1.0,Universal Music,es,,,,latin pop/latin/tropical/spanish pop/rock en espanol/cantautor/latin arena pop/mexican pop
Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,0.0,,mx,,,,latin pop/pop/latin
Dvicio,2KxjMGXFgX1vt9grpbD3xI,1.0,Sony Music Spain,es,Madrid,Madrid,"Andrés Ceballos, Martín Ceballos, Alberto Missis, Nacho Gotor  y Luis Gonzalvo",latin pop/spanish pop/latin arena pop
Beret,0ZHPrnImGh4re3TbSNkoZl,1.0,,es,,,,spanish hip hop
Nathan Trent,6U4uEoS3ISgppqupG6GJoZ,,,it,,,,
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,1.0,,ve,,Caracas,,pop/reggaeton/latin/tropical
Adonay Santana,2UT4uT6JFXXzHgyITNvKDu,,,,,,,
Leiva,5Hsv8dUHHOdnn72q4XIVz7,1.0,,es,,,,spanish pop/spanish rock/latin arena pop
Maggie Petkovic,4rmsluJ1ixlFq3ZoKrpsTn,,,no,,,,
Ana Mena,6k8mwkKJKKjBILo7ypBspl,0.0,,es,,,,spanish pop
Macaco,7mUBMaZW1MXGswaneb0JTT,1.0,Emi Music,es,Madrid,Barcelona,"Dani MAcaco
",spanish pop/latin alternative
Ea Kaya,2cMDCP6zOLaPPbOXMD4193,0.0,No3,dk,,,,
Vanesa Martín,5kSJMVPcTITrSZxTrHllVN,0.0,Warner Music Spain,es,,,,latin pop/spanish pop/spanish pop rock/latin arena pop
Max George,1RDRqPYnN9dTo41jhKth2F,,,,,,,
Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,0.0,,us,,,,latin pop/spanish pop
ISAK,0avR7AQoiuRhmnTScYtURa,,,,,,,
Sinsinati,2rGri7YZ2eiCS58zgvmlQb,,,,,,,
Miss Caffeina,1uvhwixGrZkuT2gpQQWgYb,1.0,Warner Spain,es,,Madrid,"Alberto Rodriguez 
Sergio Sastre
Álvaro Navarro 
Antonio Poza 
",latin rock/spanish pop/cantautor/spanish rock/spanish indie pop
Bovie,37GC93B6pXWp7gOz6adiIZ,,,,,,,
Dani Fernández,0CVOcYvRcSvOXyuR4YGKaC,1.0,,es,,,,spanish pop
Sweet California,0D48D7HFC7NtWKftvsDIXq,0.0,Warner Music ,es,,Madrid,"Alba, Tamy y Sonia.",spanish pop/spanish pop/latin viral pop
Manuel Carrasco,7qAoXV4U0qDxQAUqhszjAA,1.0,Universal Music,es,,,,latin pop/spanish pop
Blas Cantó,3IJtdFn9IKbFvNvZqOJA46,1.0,Warner Music Spain,do,,Madrid,Blas Cantó,spanish pop/spanish pop/latin viral pop
Aitana,7eLcDZDYHXZCebtQmVFL25,0.0,,es,,,,latin pop/spanish pop
Bombai,4sbKCRFKQ8sAUn1pWR5iKZ,1.0,,,,Valencia,,spanish pop
Naeman,2hIvmgGacBSX5BgmHiQHrX,,,,,,,swiss indie
Alfred García,0CQgFG7XHyXRpSi24kl0cx,1.0,Universal Music Spain,es,Barcelona,Barcelona,"Alfred García (singer, composer and guitarist)",spanish pop
MATTN,1RQ3ZwCNI7KniEKIN5kkio,0.0,"Smash The House , Blue Flame Records",be,,,,sky room
Pol Granch,1aMt4A5jrQHxDYyC7rXgV0,,,,,,,spanish pop
Addictive Pandas,45gQz9hbdaEtWO9OsDHWD4,,,,,,,
Tara Mcdonald,2yWER4vAftcZCFPc7ednct,0.0,Play Two / Warner Music,gb,,London,Tara McDonald,
HRVY,28y6CyJNkGNjJQKrlx4AmN,1.0,,gb,,London,,pop/post-teen pop/pop/post-teen pop
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0.0,,gb,,London,,pop/dance pop/post-teen pop/pop/post-teen pop/uk pop/dance pop
Melendi,1EXjXQpDx2pROygh8zvHs4,1.0,Sony Music,es,Madrid,Oviedo,"Carlos Rufo - Guitarra Eléctrica
Jose de Castro (Jopi) - Guitarra Eléctrica
Javi Sánchez - Guitarra Acústica
Enzo Filippone - Batería
Luca Germini - Piano
Jose Guereñu - Bajo
Esmeralda Grao - Coros",latin pop/spanish pop/spanish pop rock/spanish pop/latin pop/spanish pop rock
On The Outside,13Li6fzmLzxxOzMEIRr0TN,,,,,,"Andrew Bloom, Dawson Huckabee, Devin Hayes, Jon Klaasen, Sam Jenkins",
SAARLOOS,5PkPEYDAzPR5pJhiqPCy6y,,,ie,,,,
YVR,42Wixprv3RQYct8e3nJO1S,,,,,,,
Anitta,7FNnA9vBm6EKceENgCGRMb,0.0,Warner Music,,Rio de Janeiro,Rio de Janeiro,,funk carioca/baile pop
thisisNAMASTE,4VYOfst5n6CAQy7cf9PV4d,,,,,,,
Mady Kohl,6Wv7D69W48pFayegdEjxZu,0.0,,,,,,
OT,5Z2qwZm9NB9FeYDhw2fxA3,,The Conglomerate Entertainment / Atlantic Records,,,,,
JST FRNDS,7liK6kUh6nKLH7NpvU1PLQ,,Bravo Ocean Records,,,Atlanta,,
Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,1.0,,gb,,,"Curt Smith
Roland Orzabal",synthpop/permanent wave/art rock/soft rock/dance rock/new wave/new wave pop/new romantic
Kim Carnes,5PN2aHIvLEM98XIorsPMhE,0.0,Corazong,us,,Nashville,"Kim Carnes - vocals
Dave Ellingson - vocals, percussion
Billy Panda - vocals, guitar
Alison Prestwood - bass
Tim Lauer - keyboards
",soul christmas/soft rock/new wave pop
Simple Minds,6hN9F0iuULZYWXppob22Aj,1.0,Universal,gb,,Glasgow,"Jim Kerr, Charlie Burchill, Mel Gaynor, Andy Gillespie, Ged Grimes & Sarah Brown with Gordy Goudie & Cherisse Osei",synthpop/art rock/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic
Soft Cell,6aq8T2RcspxVOGgMrTzjWc,1.0,,gb,,,,synthpop/dance rock/new wave/new wave pop/uk post-punk/new romantic/post-punk
Blondie,4tpUmLEVLCGFr93o8hFFIB,1.0,,us,,,,rock/permanent wave/pop rock/candy pop/dance rock/new wave/new wave pop/new romantic/power pop/rock/candy pop/pop rock/new wave/new romantic/dance rock/new wave pop/permanent wave/power pop
Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,1.0,Warner Bros,us,,Gainesville,"Tom Petty - (vocals, guitar) 
Mike Campbell - (guitar)
Benmont Tench - (keyboards) 
Ron Blair - (bass) 
Scott Thurston (guitar, keyboards, harmonica)
Steve Ferrone (drums)",rock/singer-songwriter/album rock/classic rock/mellow gold/folk rock/soft rock/roots rock
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,1.0,,gb,,London,"Mick Jagger,
Keith Richards,
Charlie Watts & 
Ronnie Wood",rock/album rock/classic rock/british invasion/protopunk/folk rock
Freddie Mercury,4M1FpEWs2PeYfJe7xxJfhH,1.0,Island Universal Music (Worldwide) / Hollywood Records (US) / Eagle Rock Entertainment,gb,,London,Freddie Mercury,glam rock
Fine Young Cannibals,20p5D2KrE8CGuOjHtxsyTp,,,gb,,,,synthpop/art rock/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic
UB40,69MEO1AADKg1IZrq2XLzo5,1.0,Shoestring Music Productions,gb,Birmingham,Birmingham,"James Brown, Duncan Campbell, Robin Campbell, Earl Falconer, Norman Hassan, Martin Meredith, Tony Mullings, Laurence Parry & Brian Travers.",reggae fusion
Steve Winwood,5gxynDEKwNDgxGJmJjZyte,1.0,Wincraft Music ,gb,,Birmingham,"Richard Bailey, Jose Neto, Paul Booth, Edwin Sanz",folk/rock/singer-songwriter/album rock/classic rock/pop rock/art rock/mellow gold/symphonic rock/folk rock/soft rock/dance rock/new wave/new wave pop/folk christmas/new romantic
Billy Idol,7lzordPuZEXxwt9aoVZYmG,1.0,"BFI Records, Inc.",gb,,,"Billy Idol, Steve Stevens, Stephen McGrath, Billy Morrison, Erik Eldenius, Paul Trudeau",rock/album rock/classic rock/hard rock/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic
Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,1.0,Bludgeon Riffola,gb,,Sheffield,"Joe Elliott (Vocals)
Phil Collen (Guitar & Vocals)
Vivian Campbell (Guitars & Vocals)
Rick ""Sav"" Savage (Bass & Vocals)
Rick Allen (Drums & Vocals)",rock/album rock/hard rock/metal/glam metal/nwobhm
Elton John,3PhoLpVuITZKcymswpck5b,1.0,,gb,,,,rock/glam rock/piano rock/mellow gold/rock/piano rock/mellow gold/glam rock
Wang Chung,6Zh3xrWlA0SA9Fsfj9AVwm,1.0,,gb,,London,"Jack Hues
Nick Feldman",synthpop/album rock/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic
The J. Geils Band,69Mj3u4FTUrpyeGNSIaU6F,1.0,,us,,Boston,"Peter Wolf, Danny Klein, Seth Justman, ""Magic"" Dick Salwitz

 

 
",rock/album rock/classic rock/hard rock/art rock/mellow gold/folk rock/soft rock/british blues/blues-rock/classic funk rock/new wave pop/roots rock/southern rock/country rock/power pop
The Go-Go's,2mG8HHQ9S9kcbjcrb5N1FE,0.0,,us,,,,rock/synthpop/permanent wave/album rock/pop rock/candy pop/dance rock/new wave/new wave pop/new romantic/power pop/jangle pop
General Public,6BZbe6PDrJgxiXZ3cIXA8o,,,gb,,,,synthpop/dance rock/new wave/new romantic
The Human League,1aX2dmV8XoHYCOQRxjPESG,0.0,Wall of Sound / Papillion / East West / Virgin,gb,,Sheffield,"Philip Oakey
Susan Ann Sulley
Joanne Catherall",disco/synthpop/permanent wave/art rock/dance rock/new wave/new wave pop/new romantic
The Buggles,057gc1fxmJ2vkctjQJ7Tal,1.0,,gb,,,,synthpop/dance rock/new wave/new wave pop/new romantic/zolo
Cher,72OaDtakiy6yFqkt4TsiFt,0.0,Warner Bros. Records,us,,Los Angeles,Cher,pop/dance pop/new wave pop/hollywood
Crowded House,7ohlPA8dRBtCf92zaZCaaB,1.0,Universal,au,,Auckland,"Neil Finn - Guitar/Vox/Piano;
Nick Seymour - Bass;
Mark Hart - Guitar/Keys;
Matt Sherrod - Drums",rock/permanent wave/pop rock/mellow gold/australian alternative rock/dance rock/australian pop
Cutting Crew,3cniTumSiUysiPWXapGx1i,1.0,"InLikeFlynn Records/Right Honourable Record Company.
Historical:Virgin/EMI/Cherry Red",gb,,,"Current Recording Band:
Nick van Eede
Gareth Moulton
Joolz Dunkley
Jono Harrison
Tom Arnold
Martyn Barker
Nick Kay
Mak Norman
Gary Barnacle
Nik Carter
TJ Davis
Angela Brooks",synthpop/album rock/mellow gold/soft rock/dance rock/new wave/new wave pop/new romantic
Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,0.0,Katrina's Web,gb,,,,new wave pop
The Tubes,7zfhej6FnVXN9LIXs6dcoK,1.0,,us,,San Francisco,"Fee Waybill, 
Roger Steen, 
Prairie Prince, 
Rick Anderson, 
Dave Medd",album rock/classic rock/art rock/mellow gold/soft rock/dance rock/new wave pop/zolo/power pop
Heart,34jw2BbxjoYalTp8cJFCPv,1.0,Legacy Recordings/Sony,ca,,Seattle,"Ann Wilson
Nancy Wilson
Ben Smith
Craig Bartock
Dan Rothchild
Chris Joyner",rock/album rock/classic rock/heavy christmas/pop rock/hard rock/glam metal/art rock/mellow gold/folk rock/soft rock/dance rock/new wave pop
Don Henley,5dbuFbrHa1SJlQhQX9OUJ2,1.0,,us,,,,folk/rock/singer-songwriter/album rock/classic rock/pop rock/art rock/mellow gold/folk rock/soft rock/new wave pop/roots rock
